pmcid,file_name,line
5552726,documents_00001.jsonl,0
5776089,documents_00001.jsonl,1
7649291,documents_00001.jsonl,2
11063816,documents_00001.jsonl,3
6024199,documents_00001.jsonl,4
10958407,documents_00001.jsonl,5
4115625,documents_00001.jsonl,6
7913329,documents_00001.jsonl,7
4530666,documents_00001.jsonl,8
3078751,documents_00001.jsonl,9
6382839,documents_00001.jsonl,10
6197719,documents_00001.jsonl,11
4190683,documents_00001.jsonl,12
5371603,documents_00001.jsonl,13
5719057,documents_00001.jsonl,14
7272423,documents_00001.jsonl,15
11024046,documents_00001.jsonl,16
4477935,documents_00001.jsonl,17
8785646,documents_00001.jsonl,18
5068584,documents_00001.jsonl,19
5903407,documents_00001.jsonl,20
7456884,documents_00001.jsonl,21
6509414,documents_00001.jsonl,22
2561002,documents_00001.jsonl,23
3147157,documents_00001.jsonl,24
10870473,documents_00001.jsonl,25
6854061,documents_00001.jsonl,26
8459240,documents_00001.jsonl,27
2935390,documents_00001.jsonl,28
7981326,documents_00001.jsonl,29
2995581,documents_00001.jsonl,30
5537800,documents_00001.jsonl,31
4175730,documents_00001.jsonl,32
7851842,documents_00001.jsonl,33
10980722,documents_00001.jsonl,34
7260173,documents_00001.jsonl,35
6908505,documents_00001.jsonl,36
5394595,documents_00001.jsonl,37
5413198,documents_00001.jsonl,38
5881103,documents_00001.jsonl,39
4048172,documents_00001.jsonl,40
4174863,documents_00001.jsonl,41
6344389,documents_00001.jsonl,42
5596109,documents_00001.jsonl,43
6820536,documents_00001.jsonl,44
4990879,documents_00001.jsonl,45
6528067,documents_00001.jsonl,46
2648877,documents_00001.jsonl,47
6726765,documents_00001.jsonl,48
6847157,documents_00001.jsonl,49
4029023,documents_00001.jsonl,50
3869649,documents_00001.jsonl,51
7275020,documents_00001.jsonl,52
5717028,documents_00001.jsonl,53
4838249,documents_00001.jsonl,54
7481390,documents_00001.jsonl,55
3893192,documents_00001.jsonl,56
4869560,documents_00001.jsonl,57
7994216,documents_00001.jsonl,58
